,ID,MAASQ1_1_6,MAASQ2_1_6,MAASQ3_1_6,MAASQ4_1_6,MAASQ5_1_6,MAASQ6_1_6,MAASQ7_1_6,MAASQ8_1_6,MAASQ9_1_6,MAASQ10_1_6,MAASQ11_1_6,MAASQ12_1_6,MAASQ13_1_6,MAASQ14_1_6,MAASQ15_1_6,SPANEQ1_1_5,SPANEQ2_1_5,SPANEQ3_1_5,SPANEQ4_1_5,SPANEQ5_1_5,SPANEQ6_1_5,SPANEQ7_1_5,SPANEQ8_1_5,SPANEQ9_1_5,SPANEQ10_1_5,SPANEQ11_1_5,SPANEQ12_1_5,PWBQ1_1_7,PWBQ2_1_7,PWBQ3_1_7,PWBQ4_1_7,PWBQ5_1_7,PWBQ6_1_7,PWBQ7_1_7,PWBQ8_1_7,PSTQ1_0_1,PSTQ2_0_1,PSTQ3_0_1,PSTQ4_0_1,PSTQ5_0_1,PSTQ6_0_1,PSTQ7_0_1,PSTQ8_0_1,PSTQ9_0_1,PSTQ10_0_1,PSTQ11_0_1,PSTQ12_0_1,PSTQ13_0_1,PSTQ14_0_1,PSTQ15_0_1,PSTQ16_0_1,PSTQ17_0_1,PSTQ18_0_1,PSTQ19_0_1,PSTQ20_0_1,PSTQ21_0_1,PSTQ22_0_1,SEQ1_1_4,SEQ2_1_4,SEQ3_1_4,SEQ4_1_4,SEQ5_1_4,SEQ6_1_4,SEQ7_1_4,SEQ8_1_4,SEQ9_1_4,SEQ10_1_4,PPHQ1_1_5,PPHQ2_1_5,PPHQ3_1_5,PPHQ4_1_5,PPHQ5_1_5,PPHQ6_1_5,PPHQ7_1_5,PPRQ1_1_10,PPRQ2_1_10,PPRQ3_1_10,PPOQ1_1_7,Age,Gender_0_1,Occupation_0_1,Living_1_4,t,Experiment_1_2
13,18,Very infrequently,Almost never,Very infrequently,Almost always,Almost always,Almost always,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Very frequently,Somewhat frequently,Almost always,Somewhat frequently,Very infrequently,Sometimes,Often,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Slightly agree,Slightly disagree,Agree,Mixed or neither agree nor disagree,Slightly agree,Agree,Disagree,Mixed or neither agree nor disagree,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Exactly true,Rather true,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,Most of the time,7,7,9,You were somewhat better than other workers,56,2,2,4,0,1
16,20,Very infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very infrequently,Somewhat frequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Somewhat frequently,Very frequently,Almost never,Somewhat frequently,Very infrequently,Often,Often,Very often or always,Very often or always,Sometimes,Very often or always,Often,Very often or always,Sometimes,Sometimes,Very often or always,Very often or always,Strongly agree,Strongly agree,Strongly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Hardly true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Hardly true,Hardly true,Most of the time,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,A little of the time,8,9,10,You were about average,27,2,1,2,0,1
17,20,Almost never,Somewhat infrequently,Somewhat infrequently,Almost never,Almost never,Very frequently,Somewhat infrequently,Very infrequently,Almost never,Very infrequently,Somewhat infrequently,Almost never,Somewhat frequently,Very infrequently,Very infrequently,Very often or always,Often,Often,Often,Sometimes,Sometimes,Often,Often,Very often or always,Often,Very often or always,Very often or always,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Hardly true,Most of the time,A little of the time,Some of the time,Some of the time,A little of the time,A little of the time,None of the time,5,8,7,You were somewhat better than other workers,27,2,1,2,1,1
18,23,Somewhat infrequently,Very infrequently,Very frequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Almost always,Very frequently,Almost always,Very frequently,Very frequently,Somewhat frequently,Almost always,Somewhat infrequently,Almost always,Sometimes,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Very rarely or never,Sometimes,Sometimes,Often,Sometimes,Slightly agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Most of the time,None of the time,A little of the time,A little of the time,None of the time,Some of the time,Some of the time,8,8,9,You were somewhat better than other workers,26,2,2,4,0,1
19,24,Very frequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very infrequently,Almost always,Somewhat infrequently,Very frequently,Very rarely or never,Very rarely or never,Rarely,Very rarely or never,Often,Sometimes,Very rarely or never,Rarely,Very rarely or never,Rarely,Sometimes,Very rarely or never,Strongly disagree,Slightly disagree,Agree,Strongly agree,Slightly agree,Agree,Strongly disagree,Disagree,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Exactly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Most of the time,Some of the time,None of the time,A little of the time,A little of the time,A little of the time,None of the time,8,8,7,You were about average,27,2,1,3,0,1
20,24,Somewhat infrequently,Somewhat infrequently,Very frequently,Almost never,Somewhat infrequently,Very infrequently,Almost never,Very infrequently,Very infrequently,Almost never,Almost never,Almost never,Almost always,Very infrequently,Almost always,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Very rarely or never,Disagree,Mixed or neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Exactly true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Not true,Not true,Hardly true,Hardly true,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,7,7,7,You were a little better than other workers,27,2,1,3,1,1
21,25,Somewhat infrequently,Very infrequently,Very infrequently,Very infrequently,Almost never,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very infrequently,Very infrequently,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Very often or always,Often,Sometimes,Often,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,None of the time,None of the time,A little of the time,A little of the time,A little of the time,Some of the time,A little of the time,8,7,7,You were about average,48,1,2,4,0,1
23,26,Almost never,Somewhat frequently,Somewhat frequently,Very infrequently,Almost never,Almost always,Almost never,Almost never,Very infrequently,Almost never,Almost always,Almost never,Almost always,Somewhat frequently,Almost never,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Very often or always,Strongly agree,Slightly disagree,Agree,Strongly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Exactly true,Rather true,Rather true,Rather true,Hardly true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Most of the time,A little of the time,Some of the time,All of the time,Most of the time,All of the time,Most of the time,3,5,7,You were a lot better than other workers,31,1,1,4,1,1
24,29,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat infrequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Very rarely or never,Sometimes,Sometimes,Sometimes,Slightly disagree,Strongly disagree,Disagree,Disagree,Slightly agree,Agree,Strongly agree,Slightly agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Rather true,Hardly true,Hardly true,Hardly true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Hardly true,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,A little of the time,7,8,7,You were somewhat worse than other workers,26,2,2,1,0,1
27,31,Somewhat infrequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Exactly true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Some of the time,Some of the time,A little of the time,Some of the time,Some of the time,Some of the time,A little of the time,7,7,7,You were somewhat better than other workers,29,2,2,3,0,1
28,31,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Somewhat frequently,Very infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Often,Rarely,Often,Rarely,Often,Rarely,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Rather true,Rather true,Not true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Rather true,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,A little of the time,8,7,7,You were a little better than other workers,29,2,2,3,1,1
31,34,Somewhat infrequently,Very frequently,Very frequently,Almost always,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Almost never,Very infrequently,Very infrequently,Very infrequently,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Disagree,Agree,Mixed or neither agree nor disagree,Disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Not true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Most of the time,Some of the time,A little of the time,Some of the time,Some of the time,Some of the time,None of the time,7,7,6,You were a little better than other workers,41,2,2,1,0,1
32,34,Very frequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat infrequently,Almost always,Very frequently,Very frequently,Very infrequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Very often or always,Sometimes,Slightly disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly disagree,Agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Not true,Hardly true,Rather true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Some of the time,A little of the time,A little of the time,A little of the time,Some of the time,Most of the time,None of the time,6,7,6,You were a little better than other workers,41,2,2,1,1,1
33,37,Somewhat infrequently,Very infrequently,Very frequently,Very frequently,Somewhat infrequently,Very frequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat frequently,Almost always,Somewhat frequently,Very infrequently,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very often or always,Very often or always,Rarely,Very often or always,Often,Very often or always,Agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Agree,Agree,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Hardly true,Some of the time,Some of the time,None of the time,A little of the time,A little of the time,A little of the time,A little of the time,8,8,8,You were a little better than other workers,23,2,1,4,0,1
34,40,Somewhat infrequently,Almost never,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Somewhat frequently,Very infrequently,Very frequently,Almost never,Very frequently,Somewhat infrequently,Very infrequently,Sometimes,Rarely,Often,Rarely,Sometimes,Often,Sometimes,Often,Often,Often,Rarely,Rarely,Slightly disagree,Slightly agree,Agree,Strongly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Exactly true,Exactly true,Rather true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,Some of the time,None of the time,8,7,7,You were about average,45,1,2,3,0,1
35,41,Almost never,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Rather true,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Some of the time,Some of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,9,9,8,You were about average,28,1,2,4,0,1
36,42,Very frequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Almost never,Very frequently,Somewhat infrequently,Very infrequently,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Agree,Strongly agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Rather true,Rather true,Not true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Not true,Some of the time,A little of the time,A little of the time,Some of the time,Some of the time,A little of the time,A little of the time,8,9,7,You were somewhat better than other workers,26,1,2,3,0,1
37,42,Somewhat frequently,Very infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Often,Sometimes,Often,Often,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Slightly agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Most of the time,Some of the time,A little of the time,Some of the time,Some of the time,Some of the time,None of the time,8,9,8,You were somewhat better than other workers,26,1,2,3,1,1
39,43,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat infrequently,Almost always,Very infrequently,Very frequently,Very frequently,Almost never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Often,Rarely,Often,Rarely,Slightly disagree,Slightly agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Slightly disagree,Disagree,Slightly agree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Rather true,Rather true,Not true,Not true,Not true,Not true,Rather true,Hardly true,Hardly true,Rather true,None of the time,Most of the time,Some of the time,Some of the time,Most of the time,All of the time,A little of the time,6,5,3,You were about average,32,1,1,3,0,1
